ProductID,ProductDesc,ProductNumber,MakeFlag,Color,SafetyStockLevel,ReorderPoint,StandardCost,ListPrice,Size,SizeUnitMeasureCode,Weight,WeightUnitMeasureCode,ProductCategoryName,ProductSubCategoryName
680,"HL Road Frame - Black, 58",FR-R92B-58,true,Black,500,375,1059.31,1431.5,58,CM,2.24,LB,Components,Road Frames
706,"HL Road Frame - Red, 58",FR-R92R-58,true,Red,500,375,1059.31,1431.5,58,CM,2.24,LB,Components,Road Frames
707,"Sport-100 Helmet, Red",HL-U509-R,false,Red,4,3,13.0863,34.99,,,,,Accessories,Helmets
708,"Sport-100 Helmet, Black",HL-U509,false,Black,4,3,13.0863,34.99,,,,,Accessories,Helmets
709,"Mountain Bike Socks, M",SO-B909-M,false,White,4,3,3.3963,9.5,M,,,,Clothing,Socks
710,"Mountain Bike Socks, L",SO-B909-L,false,White,4,3,3.3963,9.5,L,,,,Clothing,Socks
711,"Sport-100 Helmet, Blue",HL-U509-B,false,Blue,4,3,13.0863,34.99,,,,,Accessories,Helmets
712,AWC Logo Cap,CA-1098,false,Multi,4,3,6.9223,8.99,,,,,,Caps
713,"Long-Sleeve Logo Jersey, S",LJ-0192-S,false,Multi,4,3,38.4923,49.99,S,,,,,Jerseys
714,"Long-Sleeve Logo Jersey, M",LJ-0192-M,false,Multi,4,3,38.4923,49.99,M,,,,,Jerseys
715,"Long-Sleeve Logo Jersey, L",LJ-0192-L,false,Multi,4,3,38.4923,49.99,L,,,,,Jerseys
716,"Long-Sleeve Logo Jersey, XL",LJ-0192-X,false,Multi,4,3,38.4923,49.99,XL,,,,,Jerseys
717,"HL Road Frame - Red, 62",FR-R92R-62,true,Red,500,375,868.6342,1431.5,62,CM,2.3,LB,Components,Road Frames
718,"HL Road Frame - Red, 44",FR-R92R-44,true,Red,500,375,868.6342,1431.5,44,CM,2.12,LB,Components,Road Frames
719,"HL Road Frame - Red, 48",FR-R92R-48,true,Red,500,375,868.6342,1431.5,48,CM,2.16,LB,Components,Road Frames
720,"HL Road Frame - Red, 52",FR-R92R-52,true,Red,500,375,868.6342,1431.5,52,CM,2.2,LB,Components,Road Frames
721,"HL Road Frame - Red, 56",FR-R92R-56,true,Red,500,375,868.6342,1431.5,56,CM,2.24,LB,Components,Road Frames
722,"LL Road Frame - Black, 58",FR-R38B-58,true,Black,500,375,204.6251,337.22,58,CM,2.46,LB,Components,Road Frames
723,"LL Road Frame - Black, 60",FR-R38B-60,true,Black,500,375,204.6251,337.22,60,CM,2.48,LB,Components,Road Frames
724,"LL Road Frame - Black, 62",FR-R38B-62,true,Black,500,375,204.6251,337.22,62,CM,2.5,LB,Components,Road Frames
725,"LL Road Frame - Red, 44",FR-R38R-44,true,Red,500,375,187.1571,337.22,44,CM,2.32,LB,Components,Road Frames
726,"LL Road Frame - Red, 48",FR-R38R-48,true,Red,500,375,187.1571,337.22,48,CM,2.36,LB,Components,Road Frames
727,"LL Road Frame - Red, 52",FR-R38R-52,true,Red,500,375,187.1571,337.22,52,CM,2.4,LB,Components,Road Frames
728,"LL Road Frame - Red, 58",FR-R38R-58,true,Red,500,375,187.1571,337.22,58,CM,2.46,LB,Components,Road Frames
729,"LL Road Frame - Red, 60",FR-R38R-60,true,Red,500,375,187.1571,337.22,60,CM,2.48,LB,Components,Road Frames
730,"LL Road Frame - Red, 62",FR-R38R-62,true,Red,500,375,187.1571,337.22,62,CM,2.5,LB,Components,Road Frames
731,"ML Road Frame - Red, 44",FR-R72R-44,true,Red,500,375,352.1394,594.83,44,CM,2.22,LB,Components,Road Frames
732,"ML Road Frame - Red, 48",FR-R72R-48,true,Red,500,375,352.1394,594.83,48,CM,2.26,LB,Components,Road Frames
733,"ML Road Frame - Red, 52",FR-R72R-52,true,Red,500,375,352.1394,594.83,52,CM,2.3,LB,Components,Road Frames
734,"ML Road Frame - Red, 58",FR-R72R-58,true,Red,500,375,352.1394,594.83,58,CM,2.36,LB,Components,Road Frames
735,"ML Road Frame - Red, 60",FR-R72R-60,true,Red,500,375,352.1394,594.83,60,CM,2.38,LB,Components,Road Frames
736,"LL Road Frame - Black, 44",FR-R38B-44,true,Black,500,375,204.6251,337.22,44,CM,2.32,LB,Components,Road Frames
737,"LL Road Frame - Black, 48",FR-R38B-48,true,Black,500,375,204.6251,337.22,48,CM,2.36,LB,Components,Road Frames
738,"LL Road Frame - Black, 52",FR-R38B-52,true,Black,500,375,204.6251,337.22,52,CM,2.4,LB,Components,Road Frames
739,"HL Mountain Frame - Silver, 42",FR-M94S-42,true,Silver,500,375,747.2002,1364.5,42,CM,2.72,LB,Components,Mountain Frames
740,"HL Mountain Frame - Silver, 44",FR-M94S-44,true,Silver,500,375,706.811,1364.5,44,CM,2.76,LB,Components,Mountain Frames
741,"HL Mountain Frame - Silver, 48",FR-M94S-52,true,Silver,500,375,706.811,1364.5,48,CM,2.8,LB,Components,Mountain Frames
742,"HL Mountain Frame - Silver, 46",FR-M94S-46,true,Silver,500,375,747.2002,1364.5,46,CM,2.84,LB,Components,Mountain Frames
743,"HL Mountain Frame - Black, 42",FR-M94B-42,true,Black,500,375,739.041,1349.6,42,CM,2.72,LB,Components,Mountain Frames
744,"HL Mountain Frame - Black, 44",FR-M94B-44,true,Black,500,375,699.0928,1349.6,44,CM,2.76,LB,Components,Mountain Frames
745,"HL Mountain Frame - Black, 48",FR-M94B-48,true,Black,500,375,699.0928,1349.6,48,CM,2.8,LB,Components,Mountain Frames
746,"HL Mountain Frame - Black, 46",FR-M94B-46,true,Black,500,375,739.041,1349.6,46,CM,2.84,LB,Components,Mountain Frames
747,"HL Mountain Frame - Black, 38",FR-M94B-38,true,Black,500,375,739.041,1349.6,38,CM,2.68,LB,Components,Mountain Frames
748,"HL Mountain Frame - Silver, 38",FR-M94S-38,true,Silver,500,375,747.2002,1364.5,38,CM,2.68,LB,Components,Mountain Frames
749,"Road-150 Red, 62",BK-R93R-62,true,Red,100,75,2171.2942,3578.27,62,CM,15.0,LB,Components,Road Bikes
750,"Road-150 Red, 44",BK-R93R-44,true,Red,100,75,2171.2942,3578.27,44,CM,13.77,LB,Components,Road Bikes
751,"Road-150 Red, 48",BK-R93R-48,true,Red,100,75,2171.2942,3578.27,48,CM,14.13,LB,Components,Road Bikes
752,"Road-150 Red, 52",BK-R93R-52,true,Red,100,75,2171.2942,3578.27,52,CM,14.42,LB,Components,Road Bikes
753,"Road-150 Red, 56",BK-R93R-56,true,Red,100,75,2171.2942,3578.27,56,CM,14.68,LB,Components,Road Bikes
754,"Road-450 Red, 58",BK-R68R-58,true,Red,100,75,884.7083,1457.99,58,CM,17.79,LB,Components,Road Bikes
755,"Road-450 Red, 60",BK-R68R-60,true,Red,100,75,884.7083,1457.99,60,CM,17.9,LB,Components,Road Bikes
756,"Road-450 Red, 44",BK-R68R-44,true,Red,100,75,884.7083,1457.99,44,CM,16.77,LB,Components,Road Bikes
757,"Road-450 Red, 48",BK-R68R-48,true,Red,100,75,884.7083,1457.99,48,CM,17.13,LB,Components,Road Bikes
758,"Road-450 Red, 52",BK-R68R-52,true,Red,100,75,884.7083,1457.99,52,CM,17.42,LB,Components,Road Bikes
759,"Road-650 Red, 58",BK-R50R-58,true,Red,100,75,486.7066,782.99,58,CM,19.79,LB,Components,Road Bikes
760,"Road-650 Red, 60",BK-R50R-60,true,Red,100,75,486.7066,782.99,60,CM,19.9,LB,Components,Road Bikes
761,"Road-650 Red, 62",BK-R50R-62,true,Red,100,75,486.7066,782.99,62,CM,20.0,LB,Components,Road Bikes
