SalesOrderID,SalesOrderDetailID,OrderQty,ProductID,UnitPrice,UnitPriceDiscount
43659,1,1,776,2024.994,0.0
43659,2,3,777,2024.994,0.0
43659,3,1,778,2024.994,0.0
43659,4,1,771,2039.994,0.0
43659,5,1,772,2039.994,0.0
43659,6,2,773,2039.994,0.0
43659,7,1,774,2039.994,0.0
43659,8,3,714,28.8404,0.0
43659,9,1,716,28.8404,0.0
43659,10,6,709,5.7,0.0
43659,11,2,712,5.1865,0.0
43659,12,4,711,20.1865,0.0
43660,13,1,762,419.4589,0.0
43660,14,1,758,874.794,0.0
43661,15,1,745,809.76,0.0
43661,16,1,743,714.7043,0.0
43661,17,2,747,714.7043,0.0
43661,18,4,712,5.1865,0.0
43661,19,4,715,28.8404,0.0
43661,20,2,742,722.5949,0.0
43661,21,3,775,2024.994,0.0
43661,22,2,778,2024.994,0.0
43661,23,2,711,20.1865,0.0
43661,24,2,741,0.0,0.0
43661,25,4,776,2024.994,0.0
43661,26,2,773,2039.994,0.0
43661,27,2,716,28.8404,0.0
43661,28,2,777,2024.994,0.0
43661,29,5,708,20.1865,0.0
43662,30,3,764,419.4589,0.0
43662,31,5,770,419.4589,0.0
43662,32,2,730,183.9382,0.0
43662,33,4,754,874.794,0.0
43662,34,3,725,183.9382,0.0
43662,35,5,762,419.4589,0.0
43662,36,3,765,419.4589,0.0
43662,37,2,768,419.4589,0.0
43662,38,1,753,2146.962,0.0
43662,39,1,756,874.794,0.0
43662,40,3,763,419.4589,0.0
43662,41,1,732,356.898,0.0
43662,42,6,758,874.794,0.0
43662,43,1,729,183.9382,0.0
43662,44,3,722,178.5808,0.0
43662,45,1,749,2146.962,0.0
43662,46,3,760,419.4589,0.0
43662,47,1,726,183.9382,0.0
43662,48,1,733,356.898,0.0
43662,49,1,738,178.5808,0.0
43662,50,3,766,419.4589,0.0
43662,51,1,755,874.794,0.0
43663,52,1,760,419.4589,0.0
43664,53,1,772,2039.994,0.0
43664,54,4,775,2024.994,0.0
43664,55,1,714,28.8404,0.0
43664,56,1,716,28.8404,0.0
43664,57,2,777,2024.994,0.0
43664,58,3,771,2039.994,0.0
43664,59,1,773,2039.994,0.0
43664,60,1,778,2024.994,0.0
43665,61,2,711,20.1865,0.0
43665,62,1,773,2039.994,0.0
43665,63,1,707,20.1865,0.0
43665,64,2,715,28.8404,0.0
43665,65,2,777,2024.994,0.0
43665,66,2,712,5.1865,0.0
43665,67,2,775,2024.994,0.0
43665,68,1,778,2024.994,0.0
43665,69,6,709,5.7,0.0
43665,70,1,776,2024.994,0.0
43666,71,1,764,419.4589,0.0
43666,72,1,753,2146.962,0.0
43666,73,1,732,356.898,0.0
43666,74,1,756,874.794,0.0
43666,75,2,768,419.4589,0.0
43666,76,1,766,419.4589,0.0
43667,77,3,710,5.7,0.0
43667,78,1,773,2039.994,0.0
43667,79,1,778,2024.994,0.0
43667,80,1,775,2024.994,0.0
43668,81,3,756,874.794,0.0
43668,82,2,753,2146.962,0.0
43668,83,7,760,419.4589,0.0
43668,84,6,765,419.4589,0.0
43668,85,6,715,28.8404,0.0
43668,86,6,730,183.9382,0.0
43668,87,2,707,20.1865,0.0
43668,88,2,711,20.1865,0.0
43668,89,2,754,874.794,0.0
43668,90,4,712,5.1865,0.0
43668,91,2,729,183.9382,0.0
43668,92,3,755,874.794,0.0
43668,93,3,761,419.4589,0.0
43668,94,2,770,419.4589,0.0
43668,95,3,726,183.9382,0.0
43668,96,2,764,419.4589,0.0
43668,97,2,766,419.4589,0.0
43668,98,2,725,183.9382,0.0
43668,99,1,716,28.8404,0.0
43668,100,2,768,419.4589,0.0
43668,101,4,732,356.898,0.0
43668,102,6,758,874.794,0.0
43668,103,4,762,419.4589,0.0
43668,104,3,738,178.5808,0.0
43668,105,4,714,28.8404,0.0
43668,106,3,722,178.5808,0.0
43668,107,1,708,20.1865,0.0
43668,108,3,733,356.898,0.0
43668,109,3,763,419.4589,0.0
43669,110,1,747,714.7043,0.0
43670,111,1,710,5.7,0.0
43670,112,-1,710,5.7,0.0
43670,113,2,773,2039.994,0.0
43670,114,1,776,2024.994,0.0
43671,115,1,753,2146.962,0.0
43671,116,2,714,28.8404,0.0
43671,117,1,756,874.794,0.0
43671,118,2,768,419.4589,0.0
43671,119,2,732,356.898,0.0
43671,120,2,763,419.4589,0.0
43671,121,2,755,874.794,0.0
43671,122,2,764,419.4589,0.0
43671,123,1,716,28.8404,0.0
43671,124,1,711,20.1865,0.0
43671,125,1,708,20.1865,0.0
43672,126,6,709,5.7,0.0
43672,127,2,776,2024.994,0.0
43672,128,1,774,2039.994,0.0
43673,129,1,754,874.794,0.0
43673,130,3,715,28.8404,0.0
43673,131,1,729,183.9382,0.0
43673,132,2,761,419.4589,0.0
43673,133,1,762,419.4589,0.0
43673,134,2,738,178.5808,0.0
43673,135,2,770,419.4589,0.0
43673,136,1,712,5.1865,0.0
43673,137,2,708,20.1865,0.0
43673,138,1,711,20.1865,0.0
43673,139,4,707,20.1865,0.0
43674,140,3,758,874.794,0.0
43675,141,4,761,419.4589,0.0
43675,142,5,711,20.1865,0.0
43675,143,2,738,178.5808,0.0
43675,144,1,708,20.1865,0.0
43675,145,2,762,419.4589,0.0
43675,146,2,758,874.794,0.0
43675,147,2,712,5.1865,0.0
43675,148,1,754,874.794,0.0
43675,149,3,715,28.8404,0.0
43676,150,2,776,2024.994,0.0
43676,151,2,778,2024.994,0.0
43676,152,1,710,5.7,0.0
